tempmax,tempmin,temp,humidity,tempwet,precip(Rainfall),windspeed,cloudcover,visibility,conditions,Weather,description
25.1,22,23.1,78.1,20.2,1.8,13,78.6,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
26,21,23.1,69.7,19,0,18.4,28.1,10,Partially cloudy,Cloudy,Clearing in the afternoon.
27.4,19.9,23.3,63.2,18.3,0,16.6,10.1,10.9,Clear,Sunny,Clear conditions throughout the day.
27.4,17,22,67.9,17.5,0,11.2,1.6,11.3,Clear,Sunny,Clear conditions throughout the day.
28,17.1,22.2,69.6,18,0,16.6,0.5,11.6,Clear,Sunny,Clear conditions throughout the day.
27.1,20,23.5,75.4,20.2,0.1,11.2,18.9,9.7,Clear,Sunny,Clear conditions throughout the day.
27,21,23.7,82.7,21.4,3.5,11.2,52.7,9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
23,14,18.8,90,17.6,12.4,27.7,98.3,9,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
18,13.4,15.7,73.5,12.6,0,25.9,52.5,10,Partially cloudy,Cloudy,Partly cloudy throughout the day.
23,15,18.4,60.2,13.5,0,16.6,12.2,10.7,Clear,Sunny,Clear conditions throughout the day.
24.4,16,19.9,63,15.1,0,18.4,10.5,9.6,Clear,Sunny,Clear conditions throughout the day.
24,16,20.6,60.4,15.4,0,11.2,21.3,9.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26.1,18,21.4,65.5,16.8,0,9.4,10.7,10,Clear,Sunny,Clear conditions throughout the day.
26.1,16,20.7,71.3,16.8,0,16.6,1.6,9.4,Clear,Sunny,Clear conditions throughout the day.
24.4,16,20.9,51.5,14.5,0,20.5,1.7,11,Clear,Sunny,Clear conditions throughout the day.
24,13,18.4,63.4,13.7,0,16.6,2.5,11.2,Clear,Sunny,Clear conditions throughout the day.
25,13,18.9,61,13.6,0,18.4,7.2,10.3,Clear,Sunny,Clear conditions throughout the day.
25,12,18.1,62.1,13.2,0,13,11.8,8.7,Clear,Sunny,Clear conditions throughout the day.
25,11.4,17.5,67.2,13.3,0,11.2,3.5,9.3,Clear,Sunny,Clear conditions throughout the day.
26,14,19.5,70.9,15.7,0,9.4,55.4,7.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26.4,18,21.8,76.8,18.8,0,13,63.7,6.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,20.4,23.4,81.4,20.9,0.5,13,66.2,6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24,20,22.2,81.2,19.8,2.1,18.4,63,7.3,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain clearing later.
24.4,19,21.3,70.6,17.6,0,13,69.5,8.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
21.1,19,20.1,77,17.3,2.2,14.8,95.7,7.9,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain in the morning and afternoon.
23,18,20.3,74.5,17.1,0,14.8,90.8,8.8,Overcast,Cloudy,Cloudy skies throughout the day.
25,19,21.4,83.5,19.2,1.2,14.8,76.6,5.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25.1,19,21.4,76.5,18.3,0.6,13,32.6,6.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26,16,20.8,75.7,17.6,0,9.4,45.3,6.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27,17,22,72.2,18.2,0,13,35.3,6.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
23,19,21.1,80.3,18.6,0.7,9.4,68.3,5.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
23.4,20,21.4,84.5,19.5,2.7,9.4,81.8,4.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
22,19,20.6,88.9,19.3,22.4,16.6,87,5.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
21.3,17,18.7,64.7,14.4,0.1,18.4,19.6,10.1,Clear,Sunny,Clear conditions throughout the day.
23,16,19.2,66.4,15,0,16.6,30.6,9.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
22,18,19.8,77.5,17,0.1,11.2,98.6,9.4,Overcast,Cloudy,Cloudy skies throughout the day.
24,19,21,81.4,18.6,2.7,9.4,70,8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain clearing later.
26,17.4,21.7,69.6,17.7,0,13,21,9.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26,15.8,21,78.2,18.1,0,14.8,31.1,6.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26.1,19,22,83.4,19.8,1.1,11.2,76.8,5.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26.4,18,22.1,81.9,19.7,0.6,13,32.5,7.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,19,22.1,82,19.8,0.4,20.5,61.4,7.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27.1,21,23.6,82.3,21.2,0.7,18.4,73.9,8.6,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
28,19,23.6,80.2,21,1.6,22.3,82.4,9.3,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain in the morning and afternoon.
21,17,18.5,62.1,13.9,2.4,25.9,46.7,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
21,15,17.5,51.3,11.6,0,16.6,17.2,10.6,Clear,Sunny,Clear conditions throughout the day.
19.4,15,16.8,61.6,12.3,0,11.2,61.7,9.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
21,16,18.5,65.8,14.3,0,11.2,84.7,8.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
22,17,19.5,76.3,16.5,0.7,11.4,96.5,6.6,Overcast,Cloudy,Cloudy skies throughout the day.
23.1,19,20.6,77.8,17.8,0.1,13,84.8,7.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24,19,20.8,81.7,18.4,0.8,20.5,93.3,6.9,Overcast,Cloudy,Cloudy skies throughout the day.
25,18,21.1,78.4,18.4,8.8,20.5,91.3,7.9,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain.
18,14,16,77.2,13.4,3.2,22.3,99.3,10,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain clearing later.
17.2,13,15.2,76.9,12.6,0,14.8,85.1,9.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
21.8,15,17.9,80,15.5,0.1,9.4,96.6,7.1,Overcast,Cloudy,Cloudy skies throughout the day.
18,15,16.1,78.3,13.6,0.9,25.9,99.3,8.9,Overcast,Cloudy,Cloudy skies throughout the day.
15.1,11,14.1,71.3,10.9,0,20.5,70.6,9.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
20,10,14.3,70.2,10.8,0,14.8,7.9,9.2,Clear,Sunny,Clear conditions throughout the day.
21,10,15.1,67.3,11.1,0,14.8,2.3,8,Clear,Sunny,Clear conditions throughout the day.
22,10.1,15.6,68.2,11.8,0,9.4,30.6,6.4,Partially cloudy,Cloudy,Becoming cloudy in the afternoon.
22,10,16.1,68.3,12.2,0,7.6,24.4,7,Partially cloudy,Cloudy,Becoming cloudy in the afternoon.
23,12,17.1,64.9,12.6,0,14.8,17.1,7,Clear,Sunny,Clear conditions throughout the day.
23,12,17.6,72.8,14.2,0,11.2,32.3,6.7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24.4,14,18.5,72,14.9,0,16.6,26.8,6.4,Partially cloudy,Cloudy,Becoming cloudy in the afternoon.
25,15,19.3,74.3,16.1,0,14.8,64.2,6.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
22,18,20.1,78.8,17.5,0.2,9.4,92,6.1,Overcast,Cloudy,Cloudy skies throughout the day.
24.2,19,21.3,83.6,19.2,0,13,93.3,5.7,Overcast,Cloudy,Cloudy skies throughout the day.
23.1,19,20.5,91.6,19.5,0.7,13,84.3,5.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,19,21.3,85.7,19.4,0,18.4,91.9,6.3,Overcast,Cloudy,Cloudy skies throughout the day.
25,19.7,21.5,85.3,19.6,1.4,20.5,75.9,6.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,20,22,86.1,20.2,7.9,25.9,85,7.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
21,12,16.4,84.2,14.5,3.8,27.7,99.6,9.2,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain.
13,10,11.4,79.4,9.2,1.5,20.5,100,9.6,Overcast,Cloudy,Cloudy skies throughout the day.
14.4,10.7,12.3,72.4,9.4,0.1,13,100,9.8,Overcast,Cloudy,Cloudy skies throughout the day.
14,11,12.5,88.5,11.2,0,13,100,7.7,Overcast,Cloudy,Cloudy skies throughout the day.
17.2,13,14.9,91.6,14,0.5,11.2,99.4,3.7,Overcast,Cloudy,Cloudy skies throughout the day.
19.7,15,17.1,90.7,16,3.1,13,97.6,4.5,"Rain, Overcast",Rainy,Cloudy skies throughout the day with morning rain.
23.1,16,19.5,83.1,17.4,0.2,11.2,70.7,5.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24,16,19.7,77,16.7,0,18.4,44.8,7.7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24.8,16,20.1,82.8,17.9,0,22.3,84.5,7.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,19,21.7,84.3,19.6,0.6,20.5,69.2,8.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
21,18,19.6,80.2,17.2,0.2,20.5,85.2,7.7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
21.1,16,18.2,68.4,14.4,0,16.6,91.4,9.9,Overcast,Cloudy,Cloudy skies throughout the day.
18.8,14,16.9,74,13.9,0,14.8,71.1,9.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
20.7,13,17,77,14.2,0,13,73,6.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
22.1,17,19.3,79.4,16.8,0,18.4,97.3,5.9,Overcast,Cloudy,Cloudy skies throughout the day.
23.4,18.7,20.7,83.1,18.6,0.1,11.2,97.1,4.9,Overcast,Cloudy,Cloudy skies throughout the day.
25,20,22.1,85.8,20.3,0.5,16.6,90,5.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,21,22.3,85.6,20.4,1.2,14.8,93.8,7.8,"Rain, Overcast",Rainy,Cloudy skies throughout the day with morning rain.
21,12,15.5,90.6,14.5,13.8,22.3,94.9,8.8,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
15.4,12,13.1,90.6,12.1,1.1,14.8,98.8,9.1,"Rain, Overcast",Rainy,Cloudy skies throughout the day with early morning rain.
22.5,14,17.8,82.2,15.6,0,9.4,92.9,7.5,Overcast,Cloudy,Cloudy skies throughout the day.
20.4,16,18.3,86,16.6,2.2,22.3,94,9,"Rain, Overcast",Rainy,Cloudy skies throughout the day with morning rain.
23,16,19.4,88.6,18,0.4,18.4,97.6,5.7,Overcast,Cloudy,Cloudy skies throughout the day.
24.5,19.7,21.9,86.9,20.2,1.1,18.4,98.3,7.3,"Rain, Overcast",Rainy,Cloudy skies throughout the day with morning rain.
25.4,20,22.6,83,20.4,0.4,20.5,95.6,8.5,Overcast,Cloudy,Cloudy skies throughout the day.
27.1,20,23,82.1,20.6,0.1,22.3,71.6,8.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,20,23.8,77.6,20.7,0.1,22.3,72.1,8.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26,21,23.1,80,20.5,0.1,16.6,81.2,7.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
20.4,17,18.9,82.6,16.8,1.1,18.4,98.5,8.8,Overcast,Cloudy,Cloudy skies throughout the day.
21,18,19.2,78.2,16.5,0,16.6,99.6,9.1,Overcast,Cloudy,Cloudy skies throughout the day.
25,17,20.5,72.1,16.9,0.1,18.4,68.2,9.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,19,21.8,80.2,19.2,0,20.5,97.6,7.9,Overcast,Cloudy,Cloudy skies throughout the day.
23,21,21.8,93.2,20.9,3,14.8,93.7,6.2,"Rain, Overcast",Rainy,Cloudy skies throughout the day with afternoon rain.
26,21,23.3,86.2,21.5,0.4,18.4,95.4,8.3,Overcast,Cloudy,Cloudy skies throughout the day.
24,22,23,91.4,21.9,1,18.4,98.1,7.2,Overcast,Cloudy,Cloudy skies throughout the day.
25,21,22.8,91.9,21.8,10.6,16.6,92.6,5.5,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain in the morning and afternoon.
25,21,22.2,91.6,21.1,3.5,14.8,71.7,5.1,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain in the morning and afternoon.
26,20,23.3,87.2,21.6,0,16.6,55.6,5.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29,23,25.3,86.2,23.4,0.5,24.1,47.4,7.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
30,24,26,84.1,23.9,0,20.5,46.1,8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,24,26.7,82.4,24.2,7.4,22.3,41.4,8.1,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with late afternoon rain.
26,20.9,23,75.9,19.8,14,27.7,41.3,9.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain clearing later.
25,19,20.9,64.1,16.3,0.1,16.6,11.3,10.6,Clear,Sunny,Clear conditions throughout the day.
22,19,20.5,81.6,18.2,0.2,11.2,42.3,7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25.1,20,22,77.6,19.1,1,16.6,35.4,6.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,20,22.3,76.9,19.3,0.1,22.3,21.8,7.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24,20,21.7,88,20.2,2.5,24.1,38.1,8.2,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with morning rain.
22,18,20.2,83.6,18.1,2.4,29.5,27.8,7.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain in the morning and afternoon.
25,16,20.3,58.8,15,0,20.5,0.7,10.3,Clear,Sunny,Clear conditions throughout the day.
22.1,18,19.8,72.6,16.3,0.1,13,16.3,9.4,Clear,Sunny,Clear conditions throughout the day.
26,18,21,74.5,17.7,0,14.8,10,6.3,Clear,Sunny,Clear conditions throughout the day.
27,19,22.5,63.3,17.5,0,18.4,13.9,9,Clear,Sunny,Clear conditions throughout the day.
24.1,20,22.2,69.9,18.3,0.3,16.6,45.8,9.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24.3,20,21.8,85.5,20,0.5,22.3,34.2,8.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27.5,20,23.2,78.9,20.3,0.3,24.1,19.7,9.3,Clear,Sunny,Clear conditions throughout the day.
28,21,23.9,79.3,21.1,0,25.9,38.7,9.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27.2,21,24.1,82.4,21.7,0,20.5,35.4,8.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,22,24.8,81.2,22.3,0.5,25.9,41.3,8.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27,23,24.4,86,22.6,0.7,22.3,45.9,10.3,Partially cloudy,Cloudy,Clearing in the afternoon.
26,23,24.2,84.4,22.1,0.9,18.4,39.8,9.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29,22,25.3,80.4,22.6,0.4,27.7,37.6,8.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,23,24.6,87,22.9,1,24.1,42.7,8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
30,23,25.8,83.2,23.5,0.8,20.5,37.6,9.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,23,25.5,82.6,23.1,0.7,20.5,44.7,8.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29,23.7,26.3,81.4,23.8,0,20.5,42.6,8.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29,24,25.5,87.8,23.8,0.8,20.5,63,7.8,Partially cloudy,Cloudy,Clearing in the afternoon.
29,24,26,84.1,23.9,1.1,18.4,48.2,9.4,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with morning rain.
30,24,26.2,87.3,24.4,2.2,27.7,40.6,7.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with morning rain.
31,23,26.6,84.4,24.4,0.3,22.3,41.7,7.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
31,25,27.4,84,25.2,7.4,14.8,46.6,7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
27,22,25.3,68.9,21,0.6,18.4,32.3,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
28,22.9,24.9,85.4,23,0.2,16.6,38.9,6.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
30.2,25,27,84.7,24.9,0,20.5,41.2,5.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
31,24,27,77.7,23.9,0.3,18.4,33.4,8.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
31,24,26.7,83.1,24.4,0,16.6,39.2,6.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33.9,25,28.8,82.1,26.2,0,11.2,31.5,4.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
34.1,25,29,80.2,26.1,0,16.6,25.3,7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33,25.5,28.7,81.9,26.1,0,22.3,25.2,8.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33,26,29,81.6,26.3,0,22.3,35.2,7.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33.4,26,28.7,82.2,26.2,0,18.4,36.8,7.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
34,26,29.2,80.6,26.3,0,18.4,38.3,5.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
34.4,26,29.1,81.1,26.3,0,22.3,33,6.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,26,28.7,82.2,26.2,0,20.5,39.2,7.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,26,28.7,82.1,26.1,0,22.3,40.1,8.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
31.7,26,28.2,83.2,25.9,0.1,25.9,36.5,8.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
31.2,26,28.3,82.6,25.9,0.1,24.1,36.8,9.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27,22,25.9,84.8,23.9,17.7,22.3,31.3,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
27.4,24.4,25.6,86.4,23.8,5,20.5,37.4,8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
26,24,25.1,88.3,23.5,0.6,16.6,21.7,7.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29.1,23,26.2,85.6,24.2,2.6,20.5,27.5,8.1,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
30,25.6,27.4,83.1,25,0,24.1,37.2,9.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,25,27.9,83.1,25.5,0,22.3,35.8,9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,23,25.1,77.7,22.1,8.2,27.7,29.5,9.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain in the morning and afternoon.
29,22,25.1,76,21.8,18.5,14.8,34.7,9.2,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain clearing later.
30,23,26.7,72.3,22.7,0.2,14.8,9.9,8.8,Clear,Sunny,Clear conditions throughout the day.
29.1,23,25.6,78.8,22.7,0.1,13,17.4,7.5,Clear,Sunny,Clear conditions throughout the day.
33,22,26.7,80.9,23.9,0.5,20.5,22.6,7.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
34,23,28.1,77.9,24.8,0.1,22.3,16.9,8.5,Clear,Sunny,Clear conditions throughout the day.
29.2,21,25.4,71,21.3,8.7,27.7,13.8,9.8,Rain,Rainy,Clear conditions throughout the day with early morning rain.
28.5,22,25.4,58.2,19.5,0,18.4,0.2,10,Clear,Sunny,Clear conditions throughout the day.
29,21,25.5,73.9,21.9,0,20.5,17.3,10,Clear,Sunny,Clear conditions throughout the day.
31,23,27,80.1,24.1,0.1,25.9,27.9,9.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,21,24.4,88.7,22.9,23.4,22.3,32.3,8.1,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
29,19,24.1,73,20.3,17.2,18.4,9.6,9.8,Rain,Rainy,Clear conditions throughout the day with a chance of rain throughout the day.
31,23,26.8,71.2,22.6,0,18.4,15.8,9.7,Clear,Sunny,Clear conditions throughout the day.
31.2,24,27.3,81.4,24.7,0,22.3,27.4,9.6,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,26,28.2,84.1,25.9,10.8,22.3,31,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
30,23,26.3,85.2,24.2,5.8,22.3,21.7,8.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
27,25,25.8,77.9,22.8,15.3,16.6,30.9,9.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
28,23,25.6,80.7,23,0.4,11.2,34.8,9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33,24,27.6,80,24.7,1,18.4,29.9,8.3,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
33.1,25,28.9,80.2,26,1.4,24.1,25.1,8.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
36,26.8,30.6,74.7,26.7,1.4,18.4,1.6,10,Rain,Rainy,Clear conditions throughout the day with afternoon rain.
36.1,27,31.6,71.8,27.1,0,16.6,1.9,8.4,Clear,Sunny,Clear conditions throughout the day.
36.5,28,31.8,72.3,27.5,0,22.3,6.1,9.9,Clear,Sunny,Clear conditions throughout the day.
33,28,29.6,84.8,27.4,14.4,25.9,20,9.7,Rain,Rainy,Partly cloudy throughout the day with rain.
